fin_ratio,k_median,k_mean,k_p2_5,k_p97_5
0.0,0.0,0.0006286673480120954,0.0,0.003204864184917825
0.25,0.009520833002898145,0.009535096396057634,0.0053808266898340675,0.013609539518547539
0.5,0.011501303861587075,0.011461962231522193,0.007065932212462939,0.016001144053589086
0.75,0.029252782164257952,0.029187012771319132,0.026709703473170525,0.03207250782128539
1.0,0.012787179653969364,0.012874067286681385,0.010821531102410516,0.015480926891104902
1.25,0.03053718346636742,0.030521835349779577,0.026878597029317466,0.034577444132701224
1.5,0.044152379926526916,0.04394586350808386,0.03860841831596191,0.04858565420920057
1.75,0.04969178891406046,0.04997030923847342,0.04113004360729975,0.05873601184459404
2.0,0.06485447799350368,0.06463506546767894,0.05738313086782001,0.07080469559245102
