fin_ratio,avg_range_obs_m,k_eff_kg_per_m,range_sim_m
0.0,2.023,0.0,2.02299918124417
0.25,1.907,0.009711987754892196,1.9070000000000003
0.5,1.866,0.013497152520016095,1.8659999999999999
0.75,1.719,0.02888298684170939,1.719
1.0,1.874,0.012742852564260259,1.874
1.25,1.704,0.030633873471619194,1.7040000000000002
1.5,1.6,0.04386452284446936,1.5999999999999996
1.75,1.557,0.04995725310808012,1.5570000000000002
2.0,1.462,0.06494654029187538,1.4620000000000002
