fin_ratio,avg_range_obs_m,k_eff_kg_per_m,range_sim_m,dt_used_s
0,2.023,0,2.02299866275051,0.0015
0.25,1.907,0.00971180107491921,1.907,0.0015
0.5,1.866,0.0134970358621733,1.866,0.0015
0.75,1.719,0.0288830322618011,1.719,0.0015
1,1.874,0.0127426991765055,1.874,0.0015
1.25,1.704,0.030633864054708,1.704,0.0015
1.5,1.6,0.0438643261202043,1.6,0.0015
1.75,1.557,0.0499571423987601,1.557,0.0015
2,1.462,0.0649463426377299,1.462,0.0015
