fin_ratio,avg_range_obs_m,k_eff_kg_per_m,range_sim_m,dt_used_s
0,2.023,0,2.02299711209423,0.003
0.25,1.907,0.00971115117982271,1.907,0.003
0.5,1.866,0.0134962895077919,1.866,0.003
0.75,1.719,0.028882007574209,1.719,0.003
1,1.874,0.0127419936489022,1.874,0.003
1.25,1.704,0.0306338358703053,1.704,0.003
1.5,1.6,0.0438637373677785,1.6,0.003
1.75,1.557,0.0499561117131069,1.557,0.003
2,1.462,0.0649457481967904,1.462,0.003
